timestamp,age,primary_streaming_service,hours_per_day,hours_per_day_capped,hours_per_day_original,hours_outlier_flag,while_working,while_working_binary,instrumentalist,instrumentalist_binary,composer,composer_binary,fav_genre,exploratory,exploratory_binary,foreign_languages,foreign_languages_binary,bpm,bpm_original,bpm_invalid_flag,anxiety,depression,insomnia,ocd,mental_health_self_report_avg,music_effects,age_missing_original,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hip_hop,frequency_jazz,frequency_k_pop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_randb,frequency_rap,frequency_rock,frequency_video_game_music,frequency_classical_score,frequency_country_score,frequency_edm_score,frequency_folk_score,frequency_gospel_score,frequency_hip_hop_score,frequency_jazz_score,frequency_k_pop_score,frequency_latin_score,frequency_lofi_score,frequency_metal_score,frequency_pop_score,frequency_randb_score,frequency_rap_score,frequency_rock_score,frequency_video_game_music_score
2022-08-27 19:29:02,18.0,Spotify,3.0,3.0,3.0,0,Yes,1.0,Yes,1.0,Yes,1.0,Latin,Yes,1.0,Yes,1.0,156.0,156.0,0,3.0,0.0,1.0,0.0,1.0,Unknown,0,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Very frequently,Very frequently,Rarely,Never,Very frequently,Sometimes,Very frequently,Never,Sometimes,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0
2022-08-27 19:57:31,63.0,Pandora,1.5,1.5,1.5,0,Yes,1.0,No,0.0,No,0.0,Rock,Yes,1.0,No,0.0,119.0,119.0,0,7.0,2.0,2.0,1.0,3.0,Unknown,0,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0
2022-08-27 21:28:18,18.0,Spotify,4.0,4.0,4.0,0,No,0.0,No,0.0,No,0.0,Video game music,No,0.0,Yes,1.0,132.0,132.0,0,7.0,7.0,10.0,2.0,6.5,No effect,0,Never,Never,Very frequently,Never,Never,Rarely,Rarely,Very frequently,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Very frequently,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0
2022-08-27 21:40:40,61.0,YouTube Music,2.5,2.5,2.5,0,Yes,1.0,No,0.0,Yes,1.0,Jazz,Yes,1.0,Yes,1.0,84.0,84.0,0,9.0,7.0,3.0,3.0,5.5,Improve,0,Sometimes,Never,Never,Rarely,Sometimes,Never,Very frequently,Sometimes,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,2.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-08-27 21:54:47,18.0,Spotify,4.0,4.0,4.0,0,Yes,1.0,No,0.0,No,0.0,R&B,Yes,1.0,No,0.0,107.0,107.0,0,7.0,2.0,5.0,9.0,5.75,Improve,0,Never,Never,Rarely,Never,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,Never,Sometimes,Very frequently,Very frequently,Never,Rarely,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0
2022-08-27 21:56:50,18.0,Spotify,5.0,5.0,5.0,0,Yes,1.0,Yes,1.0,Yes,1.0,Jazz,Yes,1.0,Yes,1.0,86.0,86.0,0,8.0,8.0,7.0,7.0,7.5,Improve,0,Rarely,Sometimes,Never,Never,Never,Sometimes,Very frequently,Very frequently,Rarely,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Very frequently,Never,1.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0
2022-08-27 22:00:29,18.0,YouTube Music,3.0,3.0,3.0,0,Yes,1.0,Yes,1.0,No,0.0,Video game music,Yes,1.0,Yes,1.0,66.0,66.0,0,4.0,8.0,6.0,0.0,4.5,Improve,0,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0
2022-08-27 22:18:59,21.0,Spotify,1.0,1.0,1.0,0,Yes,1.0,No,0.0,No,0.0,K pop,Yes,1.0,Yes,1.0,95.0,95.0,0,5.0,3.0,5.0,3.0,4.0,Improve,0,Never,Never,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Rarely,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0
2022-08-27 22:33:05,19.0,Spotify,6.0,6.0,6.0,0,Yes,1.0,No,0.0,No,0.0,Rock,No,0.0,No,0.0,94.0,94.0,0,2.0,0.0,0.0,0.0,0.5,Improve,0,Never,Very frequently,Never,Sometimes,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0
2022-08-27 22:44:03,18.0,I do not use a streaming service.,1.0,1.0,1.0,0,Yes,1.0,No,0.0,No,0.0,R&B,Yes,1.0,Yes,1.0,155.0,155.0,0,2.0,2.0,5.0,1.0,2.5,Improve,0,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0
